,Taxonomic_Rank,Distance_to_closest,Precision,Recall,F1,Method
91,class,0.0321309,0.9888829447676479,0.8962304171242946,0.9402747766986844,CONSULT-II (0.03)
92,family,0.0321309,0.9891800590348713,0.8959406239176096,0.9402495087189671,CONSULT-II (0.03)
93,genus,0.0321309,0.9892503723876479,0.8948277166384206,0.9396680092223634,CONSULT-II (0.03)
94,order,0.0321309,0.9888829447676479,0.8962304171242946,0.9402747766986844,CONSULT-II (0.03)
95,phylum,0.0321309,0.9860077105513813,0.901390049236401,0.941797059117012,CONSULT-II (0.03)
96,species,0.0321309,0.9895946782075375,0.8942252368206666,0.9394909045845126,CONSULT-II (0.03)
97,superkingdom,0.0321309,0.9997548296885105,0.9177068953793274,0.9569704615711835,CONSULT-II (0.03)
98,class,0.0351863,0.9927030832030573,0.883177076123137,0.9347376786673001,CONSULT-II (0.03)
99,family,0.0351863,0.9840269307689354,0.87154874714825,0.9243738501306532,CONSULT-II (0.03)
100,genus,0.0351863,0.962551593246789,0.841742444062748,0.8980975643597112,CONSULT-II (0.03)
101,order,0.0351863,0.9829970487641553,0.8723582433655585,0.9243738495389239,CONSULT-II (0.03)
102,phylum,0.0351863,0.9929192145083395,0.8847680718373457,0.9357240118512504,CONSULT-II (0.03)
103,species,0.0351863,0.9360563430888341,0.796697561003907,0.8607679369816745,CONSULT-II (0.03)
104,superkingdom,0.0351863,0.9999324276978288,0.887928835952788,0.9406031583321922,CONSULT-II (0.03)
105,class,0.0,0.9999849676808392,0.9978549784001057,0.9989138376312929,CONSULT-II (0.03)
106,family,0.0,0.9999999998495132,0.9967600160504057,0.9983723793560465,CONSULT-II (0.03)
107,genus,0.0,0.999999999849093,0.9939850299257526,0.9969784427075431,CONSULT-II (0.03)
108,order,0.0,0.9999849658728749,0.9977349772001117,0.9988537045111265,CONSULT-II (0.03)
109,phylum,0.0,0.9999999998498408,0.9989350051751338,0.9994622188344334,CONSULT-II (0.03)
110,species,0.0,0.9999999998490816,0.993910030300762,0.9969407148952408,CONSULT-II (0.03)
111,superkingdom,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
112,class,0.0,0.9999249236475134,0.9989799284451442,0.9994472026961616,CONSULT-II (0.03)
113,family,0.0,0.9999999998498362,0.9989050053251376,0.9994472026965445,CONSULT-II (0.03)
114,genus,0.0,0.9999999998498362,0.9989050053251376,0.9994472026965445,CONSULT-II (0.03)
115,order,0.0,0.9999999998498362,0.9989050053251376,0.9994472026965445,CONSULT-II (0.03)
116,phylum,0.0,0.999909920580124,0.9991149246187253,0.9995072645435058,CONSULT-II (0.03)
117,species,0.0,0.999999999849825,0.9988300057001469,0.9994096603798202,CONSULT-II (0.03)
118,superkingdom,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
119,class,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
120,family,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
121,genus,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
122,order,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
123,phylum,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
124,species,0.0,0.999999999847742,0.985165074026855,0.9925221073364016,CONSULT-II (0.03)
125,superkingdom,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
126,class,0.159048,0.5659083823798128,0.1868665214311913,0.2809549722070882,CONSULT-II (0.03)
127,family,0.159048,0.35378048758915825,0.10347964113797647,0.16012013729936883,CONSULT-II (0.03)
128,genus,0.159048,0.269642856970891,0.076573394896935,0.11927153909664884,CONSULT-II (0.03)
129,order,0.159048,0.34641384031484085,0.10943211840648735,0.16631920529157282,CONSULT-II (0.03)
130,phylum,0.159048,0.6457927448530509,0.2358421845749111,0.3455022915576499,CONSULT-II (0.03)
131,species,0.159048,0.0,0.0,0.0,CONSULT-II (0.03)
132,superkingdom,0.159048,0.9903227003423074,0.4006655924223853,0.5705085814783374,CONSULT-II (0.03)
133,class,0.0,0.9999999998498836,0.9992200037500982,0.9996048496679415,CONSULT-II (0.03)
134,family,0.0,0.9999999998491158,0.9941350291757338,0.9970538898185086,CONSULT-II (0.03)
135,genus,0.0,0.9999999998491158,0.9941350291757338,0.9970538898185086,CONSULT-II (0.03)
136,order,0.0,0.9999999998498791,0.9991900039001019,0.9995898378110055,CONSULT-II (0.03)
137,phylum,0.0,0.9999999998499511,0.9996700015000419,0.9998299734709162,CONSULT-II (0.03)
138,species,0.0,0.9999999998490747,0.9938650305257676,0.9969180768454929,CONSULT-II (0.03)
139,superkingdom,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
140,class,0.0,0.9999999998499062,0.9993700030000795,0.9996799021952241,CONSULT-II (0.03)
141,family,0.0,0.9999999998440764,0.96200518982975,0.9806297063782451,CONSULT-II (0.03)
142,genus,0.0,0.9999999998422936,0.9511302442061094,0.9749481073514414,CONSULT-II (0.03)
143,order,0.0,0.9999999998469661,0.9801700990024794,0.9899807592470943,CONSULT-II (0.03)
144,phylum,0.0,0.9999999998499084,0.9993850029250776,0.9996874068285846,CONSULT-II (0.03)
145,species,0.0,0.9999999998422389,0.9508002458561506,0.9747747099470098,CONSULT-II (0.03)
146,superkingdom,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
147,class,0.0,0.9999999998499242,0.9994900024000645,0.9997399361093907,CONSULT-II (0.03)
148,family,0.0,0.9999999998449011,0.9671201642541106,0.9832802950760233,CONSULT-II (0.03)
149,genus,0.0,0.9999999998446842,0.9657701710042794,0.9825820660681421,CONSULT-II (0.03)
150,order,0.0,0.9999999998467715,0.9789251052276351,0.9893453328181057,CONSULT-II (0.03)
151,phylum,0.0,0.9999999998499264,0.9995050023250626,0.9997474398420051,CONSULT-II (0.03)
152,species,0.0,0.9999999998446698,0.9656801714542906,0.9825354833678127,CONSULT-II (0.03)
153,superkingdom,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,CONSULT-II (0.03)
154,class,0.273138,0.0,0.0,0.0,CONSULT-II (0.03)
155,family,0.273138,0.0,0.0,0.0,CONSULT-II (0.03)
156,genus,0.273138,0.0,0.0,0.0,CONSULT-II (0.03)
157,order,0.273138,0.0,0.0,0.0,CONSULT-II (0.03)
158,phylum,0.273138,0.05105584227962849,0.009618784919439355,0.01618515885934645,CONSULT-II (0.03)
159,species,0.273138,0.0,0.0,0.0,CONSULT-II (0.03)
160,superkingdom,0.273138,0.9718072789313366,0.20911491734564022,0.3441677675488741,CONSULT-II (0.03)
161,class,0.287825,0.0,0.0,0.0,CONSULT-II (0.03)
162,family,0.287825,0.0,0.0,0.0,CONSULT-II (0.03)
163,genus,0.287825,0.0,0.0,0.0,CONSULT-II (0.03)
164,order,0.287825,0.0,0.0,0.0,CONSULT-II (0.03)
165,phylum,0.287825,0.05207840161719686,0.00970770968481578,0.01636225947222417,CONSULT-II (0.03)
166,species,0.287825,0.0,0.0,0.0,CONSULT-II (0.03)
167,superkingdom,0.287825,0.9709381003127444,0.2057229960902333,0.33950743861237886,CONSULT-II (0.03)
168,class,0.213479,0.7708675982879998,0.24109051741048873,0.36730182550851725,CONSULT-II (0.03)
169,family,0.213479,0.0,0.0,0.0,CONSULT-II (0.03)
170,genus,0.213479,0.0,0.0,0.0,CONSULT-II (0.03)
171,order,0.213479,0.7784468434497265,0.2403243641339886,0.36726186402254263,CONSULT-II (0.03)
172,phylum,0.213479,0.8270812528754428,0.2759955576271624,0.41387631402522473,CONSULT-II (0.03)
173,species,0.213479,0.0,0.0,0.0,CONSULT-II (0.03)
174,superkingdom,0.213479,0.9981063862118668,0.34810801069478886,0.5161826354719806,CONSULT-II (0.03)
175,class,0.120876,0.8486181580350268,0.5149693732983442,0.6409697157277306,CONSULT-II (0.03)
176,family,0.120876,0.7301175596287541,0.3695337140278691,0.49070210973133804,CONSULT-II (0.03)
177,genus,0.120876,0.6105615639850038,0.28051778098984637,0.384413473357371,CONSULT-II (0.03)
178,order,0.120876,0.8538767967051911,0.4801558314292418,0.6146639014578822,CONSULT-II (0.03)
179,phylum,0.120876,0.9579044696795618,0.6062337341413626,0.7425306658102674,CONSULT-II (0.03)
180,species,0.120876,0.0,0.0,0.0,CONSULT-II (0.03)
181,superkingdom,0.120876,0.999095345554316,0.6298608712978041,0.7726262931056846,CONSULT-II (0.03)
182,class,0.203639,0.0,0.0,0.0,CONSULT-II (0.03)
183,family,0.203639,0.0,0.0,0.0,CONSULT-II (0.03)
184,genus,0.203639,0.0,0.0,0.0,CONSULT-II (0.03)
185,order,0.203639,0.0,0.0,0.0,CONSULT-II (0.03)
186,phylum,0.203639,0.06015503869751417,0.010108729633148864,0.017306344506914557,CONSULT-II (0.03)
187,species,0.203639,0.0,0.0,0.0,CONSULT-II (0.03)
188,superkingdom,0.203639,0.987702953959168,0.2792762959420681,0.43542914431871904,CONSULT-II (0.03)
189,class,0.00313915,0.9995294830386993,0.9882646015684817,0.9938601232992177,CONSULT-II (0.03)
190,family,0.00313915,0.9967092060363256,0.9342180492711296,0.9644474232339262,CONSULT-II (0.03)
191,genus,0.00313915,0.996095838099419,0.9256616383756869,0.9595830055002548,CONSULT-II (0.03)
192,order,0.00313915,0.9973130245170896,0.9432915274228861,0.9695453693006851,CONSULT-II (0.03)
193,phylum,0.00313915,0.9993627865943435,0.9886679173000122,0.9939815848980428,CONSULT-II (0.03)
194,species,0.00313915,0.0,0.0,0.0,CONSULT-II (0.03)
195,superkingdom,0.00313915,0.9999999998485628,0.9905050473261876,0.9952248776838613,CONSULT-II (0.03)
196,class,0.0654553,0.9493171527155491,0.78999202726477,0.8623523394935044,CONSULT-II (0.03)
197,family,0.0654553,0.922922052955766,0.6909249562603641,0.7902433430331129,CONSULT-II (0.03)
198,genus,0.0654553,0.9308325315954189,0.6865570461309837,0.7902433537581652,CONSULT-II (0.03)
199,order,0.0654553,0.9145247178257946,0.6969324172077117,0.7910331006251382,CONSULT-II (0.03)
200,phylum,0.0654553,0.9876658534454882,0.8656639474685895,0.9226443214049257,CONSULT-II (0.03)
201,species,0.0654553,0.0,0.0,0.0,CONSULT-II (0.03)
202,superkingdom,0.0654553,0.9999657573578568,0.8760969022911427,0.9339370710538908,CONSULT-II (0.03)
203,class,0.232899,0.7938684398715978,0.2804383508286765,0.41446090758277554,CONSULT-II (0.03)
204,family,0.232899,0.0,0.0,0.0,CONSULT-II (0.03)
205,genus,0.232899,0.0,0.0,0.0,CONSULT-II (0.03)
206,order,0.232899,0.4794040312711633,0.1420607025742229,0.2191705303219602,CONSULT-II (0.03)
207,phylum,0.232899,0.877641256376157,0.3236137891605741,0.4728628599571628,CONSULT-II (0.03)
208,species,0.232899,0.0,0.0,0.0,CONSULT-II (0.03)
209,superkingdom,0.232899,0.9990800731945124,0.3748124361720766,0.5451152954624893,CONSULT-II (0.03)
210,class,0.282127,0.25891583415275915,0.029525637683900693,0.05300479183651517,CONSULT-II (0.03)
211,family,0.282127,0.2594228035650169,0.02654467411748323,0.04815969309948658,CONSULT-II (0.03)
212,genus,0.282127,0.0,0.0,0.0,CONSULT-II (0.03)
213,order,0.282127,0.2718505119471813,0.029174415779223025,0.05269209075001335,CONSULT-II (0.03)
214,phylum,0.282127,0.2510795018401327,0.03253249958325942,0.05759950742880141,CONSULT-II (0.03)
215,species,0.282127,0.0,0.0,0.0,CONSULT-II (0.03)
216,superkingdom,0.282127,0.9919960464505968,0.15076742856594968,0.26175037545175667,CONSULT-II (0.03)
217,class,0.0419392,0.9879436658034099,0.841928200026985,0.9091052792093417,CONSULT-II (0.03)
218,family,0.0419392,0.9461983358095808,0.7710241594609071,0.8496715250382892,CONSULT-II (0.03)
219,genus,0.0419392,0.9433984674737387,0.7468029086091394,0.8336622619587035,CONSULT-II (0.03)
220,order,0.0419392,0.9807744575750131,0.8250160045079693,0.896172795723678,CONSULT-II (0.03)
221,phylum,0.0419392,0.9933414576390713,0.8484235931741705,0.9151761811160154,CONSULT-II (0.03)
222,species,0.0419392,0.8356204663704124,0.5687219599111523,0.6768040564210481,CONSULT-II (0.03)
223,superkingdom,0.0419392,0.9998944143526036,0.8523724515305242,0.9202538442621596,CONSULT-II (0.03)
224,class,0.255652,0.6792538663793746,0.0935361097477507,0.16442744864110537,CONSULT-II (0.03)
225,family,0.255652,0.0,0.0,0.0,CONSULT-II (0.03)
226,genus,0.255652,0.0,0.0,0.0,CONSULT-II (0.03)
227,order,0.255652,0.15941791994862997,0.01584695900662371,0.028826598054500458,CONSULT-II (0.03)
228,phylum,0.255652,0.8629200110388344,0.13335579925657806,0.2310087859877428,CONSULT-II (0.03)
229,species,0.255652,0.0,0.0,0.0,CONSULT-II (0.03)
230,superkingdom,0.255652,0.9947334958733012,0.1644672641588273,0.2822629020953767,CONSULT-II (0.03)
231,class,0.0241238,0.9980171944856296,0.9682592162538872,0.9829080252628309,CONSULT-II (0.03)
232,family,0.0241238,0.993828538464976,0.9402685574924157,0.9663019469919207,CONSULT-II (0.03)
233,genus,0.0241238,0.9815916068766811,0.8425415205176685,0.906761835258632,CONSULT-II (0.03)
234,order,0.0241238,0.9976001619115176,0.9624735012760702,0.9797170791649634,CONSULT-II (0.03)
235,phylum,0.0241238,0.9985322970323771,0.9708586190934839,0.9844960252421688,CONSULT-II (0.03)
236,species,0.0241238,0.9729822029801194,0.7860153578489623,0.8695573248083404,CONSULT-II (0.03)
237,superkingdom,0.0241238,0.9999537392444172,0.9727439096104727,0.9861561699797273,CONSULT-II (0.03)
238,class,0.0102161,0.9977951945819484,0.9932652844976375,0.9955200865365248,CONSULT-II (0.03)
239,family,0.0102161,0.9977951945819484,0.9932652844976375,0.9955200865365248,CONSULT-II (0.03)
240,genus,0.0102161,0.9941096857995586,0.9751825476773908,0.9845501615637418,CONSULT-II (0.03)
241,order,0.0102161,0.9977951945819484,0.9932652844976375,0.9955200865365248,CONSULT-II (0.03)
242,phylum,0.0102161,0.9984148070596311,0.9935548810141589,0.9959739155675164,CONSULT-II (0.03)
243,species,0.0102161,0.9942930099381163,0.9749758656668613,0.9845346945014208,CONSULT-II (0.03)
244,superkingdom,0.0102161,0.9999999998490589,0.9937600310507807,0.9968652507553963,CONSULT-II (0.03)
245,class,0.253496,0.60262775453946,0.1655962997195534,0.25979823650564776,CONSULT-II (0.03)
246,family,0.253496,0.3548180782015221,0.08670209069828747,0.13934934174158847,CONSULT-II (0.03)
247,genus,0.253496,0.3153070575043484,0.07153874147418006,0.11661539070293199,CONSULT-II (0.03)
248,order,0.253496,0.6256993772391404,0.16393523624859005,0.2597983282004315,CONSULT-II (0.03)
249,phylum,0.253496,0.6800676409120294,0.2050425972492611,0.3150822439388636,CONSULT-II (0.03)
250,species,0.253496,0.0,0.0,0.0,CONSULT-II (0.03)
251,superkingdom,0.253496,0.993593314301953,0.32169429867851695,0.4860243054676266,CONSULT-II (0.03)
252,class,0.0126925,0.9952046983028686,0.9601265821337964,0.9773459958781648,CONSULT-II (0.03)
253,family,0.0126925,0.977462352296591,0.8821665798031518,0.927367786646852,CONSULT-II (0.03)
254,genus,0.0126925,0.9725895148908598,0.8669268711116175,0.9167185547716993,CONSULT-II (0.03)
255,order,0.0126925,0.9821065337640598,0.9054966835548529,0.9422419816322593,CONSULT-II (0.03)
256,phylum,0.0126925,0.9945245224955502,0.9613517098496062,0.977651802418065,CONSULT-II (0.03)
257,species,0.0126925,0.0,0.0,0.0,CONSULT-II (0.03)
258,superkingdom,0.0126925,0.9999066872472928,0.9644919816737684,0.981875103210256,CONSULT-II (0.03)
259,class,0.0202682,0.9891429509805654,0.9109639885298583,0.948440160828856,CONSULT-II (0.03)
260,family,0.0202682,0.9894840778425928,0.9106136789073402,0.9484069870707476,CONSULT-II (0.03)
261,genus,0.0202682,0.9880742266411423,0.9083768044236963,0.9465459018957395,CONSULT-II (0.03)
262,order,0.0202682,0.9892243150466028,0.9108949886519276,0.9484401608613358,CONSULT-II (0.03)
263,phylum,0.0202682,0.9966562856914184,0.9148849734566774,0.9540166449803594,CONSULT-II (0.03)
264,species,0.0202682,0.0,0.0,0.0,CONSULT-II (0.03)
265,superkingdom,0.0202682,0.9999509160667619,0.9167916715293424,0.9565623416613009,CONSULT-II (0.03)
