igenome	isuperkingdom	ikingdom	iclade	iphylum	iclass	iorder	ifamily	igenus	ispecies	genome	superkingdom	kingdom	clade	phylum	class	order	family	genus	species
G001316045	0	2157	0	28889	183924	2281	118883	2284	47303	G001316045		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus	metallicus
G001316145	0	2157	0	28889	183924	2266	2267	164450	164451	G001316145		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta	distributa
G001316265	0	2157	0	28889	183924	2266	2267	164450	1295371	G001316265		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta	sp.	JCM	16159
G001317345	0	2157	0	28890	183968	2258	2259	2263	1591054	G001317345		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	sp.	EP1
G001399695	0	2157	0	28890	183967	2301	90142	507753	507754	G001399695		Archaea		Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Acidiplasma	Acidiplasma	aeolicum
G001399795	0	2157	0	928852	0	0	0	0	1700836	G001399795		Archaea		Candidatus	Bathyarchaeota					Candidatus	Bathyarchaeota	archaeon	BA2
G001402855	0	2157	0	28890	224756	94695	2206	2207	1653396	G001402855		Archaea		Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina	sp.	795
G001412615	0	2157	0	28889	183924	114380	2307	2308	1273541	G001412615		Archaea		Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	Pyrodictium	delaneyi
G001438895	0	2157	0	651137	0	31932	338190	338191	1655560	G001438895		Archaea		Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus	sp.	BACL13	MAG-120910-bin56
G001481595	0	2157	0	28889	183924	2281	118883	2284	2285	G001481595		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus	acidocaldarius
G001484685	0	2157	0	28890	183968	2258	2259	2263	1674923	G001484685		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	sp.	2319x1
G001507935	0	2157	0	28890	183968	2258	0	0	1635283	G001507935		Archaea		Euryarchaeota	Thermococci	Thermococcales			Thermococcales	archaeon	44_46
G001508175	0	2157	0	28890	183968	2258	2259	2263	1641381	G001508175		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	sp.	40_45
G001510225	0	2157	0	651137	0	0	0	0	1661711	G001510225		Archaea		Thaumarchaeota					Thaumarchaeota	archaeon	casp-thauma1
G001510275	0	2157	0	651137	0	0	0	0	1661713	G001510275		Archaea		Thaumarchaeota					Thaumarchaeota	archaeon	casp-thauma3
G001510295	0	2157	0	651137	0	0	0	0	1661714	G001510295		Archaea		Thaumarchaeota					Thaumarchaeota	archaeon	casp-thauma4
G001515215	0	2157	0	28890	1775750	0	0	0	1776333	G001515215		Archaea		Euryarchaeota	Hadesarchaea				Hadesarchaea	archaeon	YNP_N21
G001516665	0	2157	0	28889	183924	2266	2267	2270	1714257	G001516665		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus	sp.	CIS_19
G001516725	0	2157	0	28889	183924	2266	2267	76886	1714256	G001516725		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	Caldivirga	sp.	MG_3
G001516745	0	2157	0	28889	183924	2266	2267	164450	1714251	G001516745		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta	sp.	CIS_19
G001560165	0	2157	0	28889	183924	2281	118883	2284	2285	G001560165		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus	acidocaldarius
G001560565	0	2157	0	28889	183924	2281	118883	2284	2285	G001560565		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus	acidocaldarius
G001563335	0	2157	0	1706441	0	0	0	0	1706444	G001563335		Archaea		Candidatus	Thorarchaeota					Candidatus	Thorarchaeota	archaeon	SMTZ1-45
G001577775	0	2157	0	28890	183968	2258	2259	2260	1609559	G001577775		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus	kukulkanii
G001587655	0	2157	0	28890	224756	0	0	0	1706436	G001587655		Archaea		Euryarchaeota	Methanomicrobia				Arc	I	group	archaeon	B03fssc0709_Meth_Bin005
G001593925	0	2157	0	928852	0	0	0	0	1779370	G001593925		Archaea		Candidatus	Bathyarchaeota					Candidatus	Bathyarchaeota	archaeon	B26-1
G001595885	0	2157	0	28890	0	0	0	0	1803822	G001595885		Archaea		Euryarchaeota					Euryarchaeota	archaeon	SG8-5
G001627075	0	2157	0	651137	0	0	0	1593364	1811584	G001627075		Archaea		Thaumarchaeota				Candidatus	Nitrosopelagicus	Nitrosopelagicus	sp.	REDSEA-S25_B3
G001628455	0	2157	0	28890	0	0	0	0	1811650	G001628455		Archaea		Euryarchaeota					Marine	group	II	euryarchaeote	REDSEA-S10_B2
G001628475	0	2157	0	28890	0	0	0	0	1811652	G001628475		Archaea		Euryarchaeota					Marine	group	II	euryarchaeote	REDSEA-S19_B7N8
G001674955	0	2157	0	651137	0	31932	338190	338191	1679446	G001674955		Archaea		Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Candidatus	Nitrosopumilus	sp.	DDS1
G001717005	0	2157	0	1915410	1915413	1915414	1915415	1915411	1867258	G001717005		Archaea		Candidatus	Verstraetearchaeota	Candidatus	Methanomethylia	Candidatus	Methanomethyliales	Candidatus	Methanomethyliaceae	Candidatus	Methanomethylicus	Candidatus	Methanomethylicus	mesodigestum
G001723845	0	2157	0	28890	0	1803511	0	0	1849261	G001723845		Archaea		Euryarchaeota		Candidatus	Altiarchaeales			Candidatus	Altiarchaeales	archaeon	WOR_SM1_SCG
G001729285	0	2157	0	28890	183925	2158	2159	2160	1860100	G001729285		Archaea		Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium	sp.	A39
G001776015	0	2157	0	928852	0	0	0	0	1797382	G001776015		Archaea		Candidatus	Bathyarchaeota					Candidatus	Bathyarchaeota	archaeon	RBG_16_57_9
G001856825	0	2157	0	28890	183967	2301	0	0	667138	G001856825		Archaea		Euryarchaeota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales	archaeon	I-plasma
G001870125	0	2157	0	651137	1643678	1033996	1033997	1826864	1826872	G001870125		Archaea		Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus	Nitrosocosmicus	Candidatus	Nitrosocosmicus	sp.	G61
G001914405	0	2157	0	28890	0	0	0	0	1903181	G001914405		Archaea		Euryarchaeota					Euryarchaeota	archaeon	HMET1
G001918455	0	2157	0	651137	0	0	0	0	1805392	G001918455		Archaea		Thaumarchaeota					Thaumarchaeota	archaeon	13_1_40CM_3_50_5
G001918475	0	2157	0	651137	0	0	0	0	1805390	G001918475		Archaea		Thaumarchaeota					Thaumarchaeota	archaeon	13_1_40CM_3_38_6
G001919175	0	2157	0	28889	0	0	0	0	1805092	G001919175		Archaea		Crenarchaeota					Crenarchaeota	archaeon	13_1_40CM_2_52_14
G001920575	0	2157	0	28889	0	0	0	0	1805094	G001920575		Archaea		Crenarchaeota					Crenarchaeota	archaeon	13_1_20CM_2_53_14
G001940645	0	2157	0	0	0	0	0	0	1841598	G001940645		Archaea							Candidatus	Heimdallarchaeota	archaeon	LC_3
G001940655	0	2157	0	1655434	0	0	0	0	1849166	G001940655		Archaea		Candidatus	Lokiarchaeota					Candidatus	Lokiarchaeota	archaeon	CR_4
G001940665	0	2157	0	1936271	0	0	0	0	1841599	G001940665		Archaea		Candidatus	Odinarchaeota					Candidatus	Odinarchaeota	archaeon	LCB_4
G002009975	0	2157	0	28890	183968	2258	2259	2263	1935003	G002009975		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	sp.	JdFR-02
G002011035	0	2157	0	928852	0	0	0	0	1935119	G002011035		Archaea		Candidatus	Bathyarchaeota					Candidatus	Bathyarchaeota	archaeon	JdFR-11
G002011075	0	2157	0	0	0	0	0	0	1935120	G002011075		Archaea							Candidatus	Geothermarchaeota	archaeon	JdFR-13
G900109425	0	2157	0	28890	183968	2258	2259	2263	277988	G900109425		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	thioreducens
