igenome	isuperkingdom	ikingdom	iclade	iphylum	iclass	iorder	ifamily	igenus	ispecies	genome	superkingdom	kingdom	clade	phylum	class	order	family	genus	species
G900322255	0	2	0	1224	28216	206351	481	206375	1056810	G900322255		Bacteria		Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Prolinoborus	Prolinoborus fasciculus
G900475325	0	2	0	1224	28216	80840	119060	157932	29443	G900475325		Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paucimonas	Paucimonas lemoignei
G902388795	0	2	1783272	1239	186801	186802	543314	1935192	1935195	G902388795		Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Mobilibacterium	uncultured Mobilibacterium sp.
G902566065	0	2	1783257	203682	203683	2691354	2691359	1400386	1678690	G902566065		Bacteria	PVC group	Planctomycetes	Planctomycetia	Pirellulales	Lacipirellulaceae	Bythopirellula	uncultured Bythopirellula sp.
G902619825	0	2	1783272	201174	1760	1389450	1389452	1389453	1985113	G902619825		Bacteria	Terrabacteria group	Actinobacteria	Actinobacteria	Candidatus Actinomarinales	Candidatus Actinomarinaceae	Candidatus Actinomarina	uncultured Candidatus Actinomarina sp.
G000007005	0	2157	0	28889	183924	2281	118883	2284	2287	G000007005		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus	solfataricus
G000007185	0	2157	0	28890	183988	68985	183713	2319	2320	G000007185		Archaea		Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus	kandleri
G000009965	0	2157	0	28890	183968	2258	2259	2263	311400	G000009965		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	kodakarensis
G000011125	0	2157	0	28889	183924	114380	2272	56635	56636	G000011125		Archaea		Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum	pernix
G000016385	0	2157	0	28889	183924	2266	2267	2276	121277	G000016385		Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum	arsenaticum
G000016525	0	2157	0	28890	183925	2158	2159	2172	2173	G000016525		Archaea		Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter	smithii
G000017185	0	2157	0	28890	183939	2182	2183	2184	42879	G000017185		Archaea		Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus	aeolicus
G000018365	0	2157	0	28890	183968	2258	2259	2263	342948	G000018365		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	onnurineus
G000019605	0	2157	0	51967	0	0	0	498845	498846	G000019605		Archaea		Candidatus	Korarchaeota				Candidatus	Korarchaeum	Candidatus	Korarchaeum	cryptofilum
G000022365	0	2157	0	28890	183968	2258	2259	2263	187878	G000022365		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	gammatolerans
G000024305	0	2157	0	28889	183924	2281	118883	2284	43080	G000024305		Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus	islandicus
G000091665	0	2157	0	28890	183939	2182	196117	196118	2190	G000091665		Archaea		Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus	jannaschii
G000145295	0	2157	0	28890	183925	2158	2159	145260	145263	G000145295		Archaea		Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter	marburgensis
G000151105	0	2157	0	28890	183968	2258	2259	2263	55802	G000151105		Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus	barophilus
