Bin	Rank	Count	Hamming_distance	Match
(0.05, 0.15)	Family	4	3	True
(0.05, 0.15)	Kingdom	4	2	False
(0.05, 0.15)	Order	2	5	True
(0.05, 0.15)	Kingdom	2	5	False
(0.05, 0.15)	Kingdom	2	0	False
(0.05, 0.15)	Family	1	4	True
(0.0, 0.05)	Species	465616	0	True
(0.0, 0.05)	Species	192850	1	True
(0.0, 0.05)	Species	139142	2	False
(0.0, 0.05)	Species	132042	3	False
(0.0, 0.05)	Species	105124	4	False
(0.0, 0.05)	Species	100978	1	False
(0.0, 0.05)	Species	91406	5	False
(0.0, 0.05)	Family	51169	0	True
(0.0, 0.05)	Species	51070	2	True
(0.0, 0.05)	Genus	27333	0	True
(0.0, 0.05)	Family	22591	1	True
(0.0, 0.05)	Species	18902	0	False
(0.0, 0.05)	Order	16744	0	True
(0.0, 0.05)	Order	11787	1	True
(0.0, 0.05)	Species	11435	3	True
(0.0, 0.05)	Family	10314	2	True
(0.0, 0.05)	Genus	5919	1	True
(0.0, 0.05)	Order	5005	2	True
(0.0, 0.05)	Family	4781	3	True
(0.0, 0.05)	Class	4696	0	True
(0.0, 0.05)	Class	4351	1	True
(0.0, 0.05)	Genus	4004	2	False
(0.0, 0.05)	Genus	3763	1	False
(0.0, 0.05)	Genus	3259	3	False
(0.0, 0.05)	Phylum	2645	0	True
(0.0, 0.05)	Genus	2590	4	False
(0.0, 0.05)	Kingdom	2565	0	True
(0.0, 0.05)	Genus	2367	5	False
(0.0, 0.05)	Species	2354	4	True
(0.0, 0.05)	Phylum	2278	1	True
(0.0, 0.05)	Family	2136	4	True
(0.0, 0.05)	Kingdom	2091	1	True
(0.0, 0.05)	Class	2001	2	True
(0.0, 0.05)	Order	1860	3	True
(0.0, 0.05)	Family	1728	1	False
(0.0, 0.05)	Family	1538	2	False
(0.0, 0.05)	Phylum	1435	2	True
(0.0, 0.05)	Kingdom	1243	2	True
(0.0, 0.05)	Family	1159	3	False
(0.0, 0.05)	Genus	933	2	True
(0.0, 0.05)	Family	899	5	True
(0.0, 0.05)	Phylum	755	3	True
(0.0, 0.05)	Class	752	3	True
(0.0, 0.05)	Family	707	4	False
(0.0, 0.05)	Kingdom	670	3	True
(0.0, 0.05)	Family	643	5	False
(0.0, 0.05)	Order	571	4	True
(0.0, 0.05)	Genus	554	0	False
(0.0, 0.05)	Species	539	5	True
(0.0, 0.05)	Kingdom	448	5	True
(0.0, 0.05)	Kingdom	437	4	True
(0.0, 0.05)	Order	425	2	False
(0.0, 0.05)	Class	421	2	False
(0.0, 0.05)	Order	415	1	False
(0.0, 0.05)	Class	382	1	False
(0.0, 0.05)	Class	375	3	False
(0.0, 0.05)	Order	368	3	False
(0.0, 0.05)	Class	365	4	True
(0.0, 0.05)	Phylum	324	4	True
(0.0, 0.05)	Class	314	4	False
(0.0, 0.05)	Order	308	5	False
(0.0, 0.05)	Order	306	4	False
(0.0, 0.05)	Class	291	5	False
(0.0, 0.05)	Genus	199	3	True
(0.0, 0.05)	Phylum	169	5	True
(0.0, 0.05)	Order	166	5	True
(0.0, 0.05)	Family	148	0	False
(0.0, 0.05)	Class	146	5	True
(0.0, 0.05)	Phylum	134	5	False
(0.0, 0.05)	Phylum	113	1	False
(0.0, 0.05)	Phylum	97	2	False
(0.0, 0.05)	Phylum	88	4	False
(0.0, 0.05)	Phylum	71	3	False
(0.0, 0.05)	Genus	66	4	True
(0.0, 0.05)	Genus	27	5	True
(0.0, 0.05)	Order	19	0	False
(0.0, 0.05)	Class	13	0	False
